"year","admission_category","statistics","value"
2001,"Total, immigrant admission category","Total count",153850
2002,"Total, immigrant admission category","Total count",139590
2003,"Total, immigrant admission category","Total count",133755
2004,"Total, immigrant admission category","Total count",142090
2005,"Total, immigrant admission category","Total count",154625
2006,"Total, immigrant admission category","Total count",154640
2007,"Total, immigrant admission category","Total count",145895
2008,"Total, immigrant admission category","Total count",151290
2009,"Total, immigrant admission category","Total count",155340
2010,"Total, immigrant admission category","Total count",169745
2011,"Total, immigrant admission category","Total count",152585
2012,"Total, immigrant admission category","Total count",162900
2013,"Total, immigrant admission category","Total count",168735
2014,"Total, immigrant admission category","Total count",174385
2015,"Total, immigrant admission category","Total count",180375
2016,"Total, immigrant admission category","Total count",186485
2001,"Total, immigrant admission category","Total with income",91120
2002,"Total, immigrant admission category","Total with income",82030
2003,"Total, immigrant admission category","Total with income",75315
2004,"Total, immigrant admission category","Total with income",85085
2005,"Total, immigrant admission category","Total with income",96250
2006,"Total, immigrant admission category","Total with income",98615
2007,"Total, immigrant admission category","Total with income",94800
2008,"Total, immigrant admission category","Total with income",97585
2009,"Total, immigrant admission category","Total with income",94445
2010,"Total, immigrant admission category","Total with income",104555
2011,"Total, immigrant admission category","Total with income",93915
2012,"Total, immigrant admission category","Total with income",102040
2013,"Total, immigrant admission category","Total with income",106400
2014,"Total, immigrant admission category","Total with income",118805
2015,"Total, immigrant admission category","Total with income",122470
2016,"Total, immigrant admission category","Total with income",123830
2001,"Total, immigrant admission category","Mean with income",14600
2002,"Total, immigrant admission category","Mean with income",14400
2003,"Total, immigrant admission category","Mean with income",14500
2004,"Total, immigrant admission category","Mean with income",16800
2005,"Total, immigrant admission category","Mean with income",16200
2006,"Total, immigrant admission category","Mean with income",18100
2007,"Total, immigrant admission category","Mean with income",19900
2008,"Total, immigrant admission category","Mean with income",21100
2009,"Total, immigrant admission category","Mean with income",22100
2010,"Total, immigrant admission category","Mean with income",21500
2011,"Total, immigrant admission category","Mean with income",21300
2012,"Total, immigrant admission category","Mean with income",23900
2013,"Total, immigrant admission category","Mean with income",24900
2014,"Total, immigrant admission category","Mean with income",29400
2015,"Total, immigrant admission category","Mean with income",28700
2016,"Total, immigrant admission category","Mean with income",28300
2001,"Total, immigrant admission category","Median with income",7800
2002,"Total, immigrant admission category","Median with income",8100
2003,"Total, immigrant admission category","Median with income",7500
2004,"Total, immigrant admission category","Median with income",8300
2005,"Total, immigrant admission category","Median with income",8500
2006,"Total, immigrant admission category","Median with income",9500
2007,"Total, immigrant admission category","Median with income",9900
2008,"Total, immigrant admission category","Median with income",10700
2009,"Total, immigrant admission category","Median with income",11000
2010,"Total, immigrant admission category","Median with income",11100
2011,"Total, immigrant admission category","Median with income",11200
2012,"Total, immigrant admission category","Median with income",12700
2013,"Total, immigrant admission category","Median with income",13700
2014,"Total, immigrant admission category","Median with income",17900
2015,"Total, immigrant admission category","Median with income",17800
2016,"Total, immigrant admission category","Median with income",17200
2001,"Immigrants sponsored by family","Total count",45790
2002,"Immigrants sponsored by family","Total count",45460
2003,"Immigrants sponsored by family","Total count",49120
2004,"Immigrants sponsored by family","Total count",45030
2005,"Immigrants sponsored by family","Total count",45685
2006,"Immigrants sponsored by family","Total count",54845
2007,"Immigrants sponsored by family","Total count",52950
2008,"Immigrants sponsored by family","Total count",53205
2009,"Immigrants sponsored by family","Total count",53085
2010,"Immigrants sponsored by family","Total count",48095
2011,"Immigrants sponsored by family","Total count",45195
2012,"Immigrants sponsored by family","Total count",52270
2013,"Immigrants sponsored by family","Total count",62450
2014,"Immigrants sponsored by family","Total count",50380
2015,"Immigrants sponsored by family","Total count",48920
2016,"Immigrants sponsored by family","Total count",56090
2001,"Immigrants sponsored by family","Total with income",25885
2002,"Immigrants sponsored by family","Total with income",25330
2003,"Immigrants sponsored by family","Total with income",26130
2004,"Immigrants sponsored by family","Total with income",24855
2005,"Immigrants sponsored by family","Total with income",25365
2006,"Immigrants sponsored by family","Total with income",32305
2007,"Immigrants sponsored by family","Total with income",32335
2008,"Immigrants sponsored by family","Total with income",30805
2009,"Immigrants sponsored by family","Total with income",28735
2010,"Immigrants sponsored by family","Total with income",26065
2011,"Immigrants sponsored by family","Total with income",23960
2012,"Immigrants sponsored by family","Total with income",27185
2013,"Immigrants sponsored by family","Total with income",32365
2014,"Immigrants sponsored by family","Total with income",27845
2015,"Immigrants sponsored by family","Total with income",27275
2016,"Immigrants sponsored by family","Total with income",32460
2001,"Immigrants sponsored by family","Mean with income",13600
2002,"Immigrants sponsored by family","Mean with income",12500
2003,"Immigrants sponsored by family","Mean with income",12100
2004,"Immigrants sponsored by family","Mean with income",12100
2005,"Immigrants sponsored by family","Mean with income",12700
2006,"Immigrants sponsored by family","Mean with income",13200
2007,"Immigrants sponsored by family","Mean with income",14000
2008,"Immigrants sponsored by family","Mean with income",14900
2009,"Immigrants sponsored by family","Mean with income",14200
2010,"Immigrants sponsored by family","Mean with income",13900
2011,"Immigrants sponsored by family","Mean with income",14100
2012,"Immigrants sponsored by family","Mean with income",15100
