"REF_DATE","GEO","DGUID","Sex","Pre-admission experience","Immigrant admission category","Years since admission","Income type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","153850","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","139590","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","133755","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","142090","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","154625","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","154640","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","145895","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","151290","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","155340","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","169745","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","152585","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","162900","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","168735","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","174385","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","180375","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total count","Persons","249","units","0","v1035360955","1.1.1.1.1.6.1","186485","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","91120","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","82030","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","75315","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","85085","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","96250","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","98615","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","94800","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","97585","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","94445","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","104555","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","93915","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","102040","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","106400","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","118805","","","","0"
"2015","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","122470","","","","0"
"2016","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Total with income","Persons","249","units","0","v1035360956","1.1.1.1.1.6.2","123830","","","","0"
"2001","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","14600","","","","0"
"2002","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","14400","","","","0"
"2003","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","14500","","","","0"
"2004","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","16800","","","","0"
"2005","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","16200","","","","0"
"2006","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","18100","","","","0"
"2007","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","19900","","","","0"
"2008","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","21100","","","","0"
"2009","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","22100","","","","0"
"2010","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","21500","","","","0"
"2011","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","21300","","","","0"
"2012","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","23900","","","","0"
"2013","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","24900","","","","0"
"2014","Canada","2016A000011124","Both sexes","Total - pre-admission experience","Total, immigrant admission category","0 years since admission","All income","Mean with income","Dollars","81","units","0","v1035360957","1.1.1.1.1.6.3","29400","","","","0"
